epoch,loss,test_loss,train_acc,test_acc,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0,1.5261805,1.385907,0.3714272,0.39167756,False,,,1,e6dd1a0257694b7fb4fc4b55fd011179,2020-03-06_21-03-22,1583525002,6.656538963317871,6.656538963317871,7287,home,10.183.96.137,6.656538963317871,0,1,1a63968c,"10_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.053694,stateful=False,use_lstm=False"
1,1.1512007,1.3068187,0.52545017,0.44213507,False,,,2,e6dd1a0257694b7fb4fc4b55fd011179,2020-03-06_21-03-24,1583525004,1.7383043766021729,8.394843339920044,7287,home,10.183.96.137,8.394843339920044,0,2,1a63968c,"10_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.053694,stateful=False,use_lstm=False"
2,1.1441965,1.314719,0.52131224,0.44165578,False,,,3,e6dd1a0257694b7fb4fc4b55fd011179,2020-03-06_21-03-25,1583525005,1.796891450881958,10.191734790802002,7287,home,10.183.96.137,10.191734790802002,0,3,1a63968c,"10_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.053694,stateful=False,use_lstm=False"
3,1.0612373,1.1736127,0.5523276,0.4911111,False,,,4,e6dd1a0257694b7fb4fc4b55fd011179,2020-03-06_21-03-29,1583525009,1.6088593006134033,11.800594091415405,7287,home,10.183.96.137,11.800594091415405,0,4,1a63968c,"10_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.053694,stateful=False,use_lstm=False"
4,0.8879483,1.2020128,0.62766284,0.5378649,False,,,5,e6dd1a0257694b7fb4fc4b55fd011179,2020-03-06_21-03-31,1583525011,1.7516214847564697,13.552215576171875,7287,home,10.183.96.137,13.552215576171875,0,5,1a63968c,"10_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.053694,stateful=False,use_lstm=False"
5,1.1078383,1.3158377,0.5495211,0.48052287,False,,,6,e6dd1a0257694b7fb4fc4b55fd011179,2020-03-06_21-03-32,1583525012,1.6699793338775635,15.222194910049438,7287,home,10.183.96.137,15.222194910049438,0,6,1a63968c,"10_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.053694,stateful=False,use_lstm=False"
6,0.9473573,1.2293974,0.6054023,0.5267974,False,,,7,e6dd1a0257694b7fb4fc4b55fd011179,2020-03-06_21-03-34,1583525014,1.6518690586090088,16.874063968658447,7287,home,10.183.96.137,16.874063968658447,0,7,1a63968c,"10_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.053694,stateful=False,use_lstm=False"
7,0.89958626,1.3351682,0.614387,0.46766883,False,,,8,e6dd1a0257694b7fb4fc4b55fd011179,2020-03-06_21-03-36,1583525016,1.7612292766571045,18.63529324531555,7287,home,10.183.96.137,18.63529324531555,0,8,1a63968c,"10_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.053694,stateful=False,use_lstm=False"
8,0.8265643,1.1611632,0.6442816,0.56078434,False,,,9,e6dd1a0257694b7fb4fc4b55fd011179,2020-03-06_21-03-38,1583525018,1.7757165431976318,20.411009788513184,7287,home,10.183.96.137,20.411009788513184,0,9,1a63968c,"10_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.053694,stateful=False,use_lstm=False"
9,0.80561614,1.1553893,0.6451341,0.56527233,False,,,10,e6dd1a0257694b7fb4fc4b55fd011179,2020-03-06_21-03-39,1583525019,1.6818196773529053,22.09282946586609,7287,home,10.183.96.137,22.09282946586609,0,10,1a63968c,"10_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.053694,stateful=False,use_lstm=False"
10,0.73510635,1.2418798,0.67139846,0.56610024,False,,,11,e6dd1a0257694b7fb4fc4b55fd011179,2020-03-06_21-03-43,1583525023,1.6697499752044678,23.762579441070557,7287,home,10.183.96.137,23.762579441070557,0,11,1a63968c,"10_batch_size=64,data_preprocessing=high_pass,dim_hidden=50,lr=0.053694,stateful=False,use_lstm=False"
